"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,, 
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions 
,,Cankor BBQ Ltd.,"Vancouver, BC V6G 1C2",6322-Cooks,1
,,Canokanne Foods Ltd. o/a Turtle Bay Pub,"LAKE COUNTRY, BC V4V 1Y1",6322-Cooks,2
,,Cantel Technologies Inc,"ABBOTSFORD, BC V2T 3K2",7612-Other trades helpers and labourers,2
,,Canyon Springs Academy Inc.,"PITT MEADOWS, BC V3Y 1Z1",4214-Early childhood educators and assistants,1
,,Car Match Auto Group Inc.,"Burnaby, BC V5J 3G8",1241-Administrative assistants,1
,,Caveman Foods and Deli Ltd.,"VANCOUVER, BC V6B 6N9",6311-Food service supervisors,1
,,Cha Ching Holdings Ltd.,"Kelowna, BC V1W 3T1",0631-Restaurant and food service managers,1
,,,,6322-Cooks,1
,,Charan Holdings Ltd.,"SQUAMISH, BC V0N 1T0",6311-Food service supervisors,1
,,Chef Cho Restaurant Ltd.,"Pitt Meadows, BC V3Y 2J4",6322-Cooks,2
,,Chilliwackmaru Restaurant Ltd. o/a Maru Shshi,"Chilliwack, BC V2R 0M5",6322-Cooks,2
,,Chura Investments Limited,"Vancouver, BC V6B 0J6",6341-Hairstylists and barbers,1
,,Chutney Restaurant Ltd,"Kelowna, BC V1Y 1W3",6322-Cooks,1
,,CJ Coquitlam Sushi Mori Restaurant Ltd,"Coquitlam, BC V3H 4E2",6322-Cooks,1
,,CJS Enterprises Ltd,"New Westminster, BC V3M 3T2",1241-Administrative assistants,1
,,CKS Holdings Ltd.,"Lytton, BC V0K 1Z0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,Clearbrook Produce Ltd,"North Vancouver, BC V7J 0A1",6322-Cooks,1
,,Clifton Enterprises dba Inn of the West,"Burnaby, BC V5C 2H6","6313-Accommodation, travel, tourism and related services supervisors",1
,,CME Enterprise Ltd,"Burnaby, BC V5E 1T8",4214-Early childhood educators and assistants,1
,,Coal Harbour Restaurant Inc. dba Cardero's Restaurant,"Vancouver, BC V6G 3E7",6322-Cooks,3
,,"Coast Spas Manufacturing, Inc","Langley, BC V2Y 1N1","9537-Other products assemblers, finishers and inspectors",10
,,Come Arepa Ltd.,"VANCOUVER, BC V5R 6C3",6322-Cooks,1
,,Comox Valley Culinary Culinary Connections Ltd. dba Locals-Food from the Heart of the Island,"COMOX, BC V9M 2W6",6322-Cooks,1
,,Connex Global Communications Inc.,"Vancouver, BC V6B 3K4",1241-Administrative assistants,1
,,Continental Sausage Co Ltd,"Surrey, BC V3Z 1A1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
,,CPM Foods Ltd,"Penticton, BC V2A 5H3",6311-Food service supervisors,1
,,CV Family Restaurant Corp,"WILLIAMS LAKE, BC V2G 4N2",6311-Food service supervisors,6
,,CYSP Sushi Enterprises Ltd,"North Vancouver, BC V7K 1Z3",6322-Cooks,1
,,Dae Ya Holdings Ltd.,"Abbotsford, BC V2S 3P6",6322-Cooks,1
,,Daidokoro Enterprises Ltd.,"Port Moody, BC V3H 5E4",6322-Cooks,1
,,Daniel LS Enterprises Ltd,"Chilliwack, BC V2R 6E7",6322-Cooks,1
,,Daon Korean Cuisine Ltd.,"COQUITLAM, BC V3K 6V9",6322-Cooks,1
,,Dazzling Cafe Ltd,"RICHMOND, BC V6X 2A4",6321-Chefs,2
,,Deerwood Landscaping Ltd,"NORTH VANCOUVER, BC V7P 1A1",8612-Landscaping and grounds maintenance labourers,2
,,Dega Holdings Ltd.,"Squamish, BC V8B 0K5",6311-Food service supervisors,3
,,Delainy's Gluten Free Bakery Inc.,"Vancouver, BC V5T 2R6",6332-Bakers,1
,,Denji Enterprise Ltd.,"Burnaby, BC V3N 4R7",6322-Cooks,2
,,Desi Bites Restaurant Ltd.,"SURREY, BC V2W 4E9",6322-Cooks,2
,,Dewan E Khass Restaurant Inc.,"Vancouver, BC V5W 2Z5",6322-Cooks,1
,,Dhanti Foods Ltd,"BURNABY, BC V5E 4H8",6311-Food service supervisors,3
,,Dockside Brewing Company Ltd,"Vancouver, BC V5H 3R9",6322-Cooks,1
,,Dodo Sushi Inc.,"Vancouver, BC V6R 2H8",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Dolce Salani Bakery Ltd.,"Vancouver, BC V5L 3H8",6332-Bakers,1
,,Dosa Factory Restaurant Ltd,"VANCOUVER, BC V5V 3E3",6322-Cooks,1
,,DR. ALNOOR SOMJI INC,"North Vancouver, BC V7L 3G2",1241-Administrative assistants,1
,,EAJ Customs Brokers Inc.,"Richmond, BC V7B 1L1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Earl's Restaurant Chilliwack Ltd.,"Chilliwack, BC V2R 1A1",6322-Cooks,2
,,Ebenezer Enterprises Inc.,"PRINCE GEORGE, BC V2K 5G8",6211-Retail sales supervisors,1
,,Eden Bento Cafe,"Kamloops, BC V2C 1Y3",6322-Cooks,1
,,EK Cell Repair Ltd.,"KELOWNA, BC V1Y 8R6",6211-Retail sales supervisors,1
,,Elimin8 Enterprises Inc.o/a Tim Hortons,"Delta, BC V4L 2A6",6311-Food service supervisors,2
,,EMK Auto Interior Ltd.,"Maple Ridge, BC V2X 0Y6",6345-Upholsterers,1
,,E-Mo Restaurant Ltd,"Vancouver, BC V6B 2B7",6322-Cooks,1
,,Eracude Systems Inc.,"ABBOTSFORD, BC V2T 5X5",4214-Early childhood educators and assistants,1
,,Essence Properties Inc,"SURREY, BC V3S 7A4",7611-Construction trades helpers and labourers,1
,,Eternal Abundance Organic Store and Cafe Inc.,"Vancouver, BC V5L 3X1",6322-Cooks,1
,,Everest Indian & Nepalese Cuisine Ltd,"WEST KELOWNA, BC V4T 1Y9",6322-Cooks,1
,,Eye Star Optical Ltd.,"Vancouver, BC V5Z 2M9",6211-Retail sales supervisors,1
,,Ferguson Point Restaurant Inc,"Vancouver, BC V6G 3E7",6322-Cooks,1
,,Fire Productions Ltd.,"VANCOUVER, BC V5N 4A3",6311-Food service supervisors,1
,,,,6321-Chefs,1
,,Firework Production Ltd.,"RICHMOND, BC V6X 4A5",1311-Accounting technicians and bookkeepers,1
,,First Gen Holdings Inc. o/a Pita Pit,"Surrey, BC V3W 5A5",6311-Food service supervisors,1
,,FoodNFood Enterprises Inc.,"Vancouver, BC V6Z 1A8",6322-Cooks,1
,,Frankie's Italian Kitchen & Bar Vancouver Ltd,"Vancouver, BC V6B 2M4",6322-Cooks,1
,,Fransor Insulation Ltd,"SURREY, BC V4N 3R1",7611-Construction trades helpers and labourers,2
,,Freebies Holdings Inc,"Surrey, BC V3T 4H4",6322-Cooks,1
,,Freebird Chicken Inc,"New Westminster, BC V3M 6B9",6322-Cooks,1
,,Fresh Bowl Foods Ltd,"Vancouver, BC V6Z 2X7",6311-Food service supervisors,2
,,Freshtap Pour System Inc.,"VANCOUVER, BC V6A 3A8",6322-Cooks,1
,,Friends Foods Ltd,"Delta, BC V4C 2E6",6211-Retail sales supervisors,1
,,Fusion Plus Cuisine Inc.,"Vancouver, BC V6R 2B3",6311-Food service supervisors,1
,,Future Tech Glass & Closet Organizer Ltd.,"Surrey, BC V3W 8H8",1311-Accounting technicians and bookkeepers,1
,,,,6211-Retail sales supervisors,1
,,G.K. Drywall Ltd.,"Surrey, BC V3X 0H7",7294-Painters and decorators (except interior decorators),1
,,Gangnam B.B.Q. Restaurant Ltd,"RICHMOND, BC V6X 4E8",6322-Cooks,1
,,Garden Fresh Food & Grocery Ltd,"Vancouver, BC V5X 3T4",6211-Retail sales supervisors,1
,,Gaya Holdings Ltd.,"BURNABY, BC V5A 2S8",6322-Cooks,1
,,GentleBear Holdings Inc.,"VANCOUVER, BC V5T 3C7",6315-Cleaning supervisors,1
,,Geovan Holdings Ltd.,"Nanaimo, BC V9T 6K2",6322-Cooks,2
,,GEP In Between Inc,"NORTH VANCOUVER, BC V7J 3S5","6742-Other service support occupations, n.e.c.",1
,,Gill Bros Enterprises Ltd,"SQUAMISH, BC V8B 0G8",0631-Restaurant and food service managers,1
,,Ginza Ichiban Cuisine Ltd.,"Quesnel, BC V2J 4C1",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Ginza Restaurant (2016) Inc,"Port Coquitlam, BC V3B 5L7",6322-Cooks,2
,,GK Fresh Foods Ltd.,"LILLOOET, BC V0K 1V0",6311-Food service supervisors,1
,,,,"6711-Food counter attendants, kitchen helpers and related support occupations",2
,,Glowbal Georgia Restaurant Ltd.,"Vancouver, BC V6B 1B6",6322-Cooks,1
,,Gold Rush Pizza Inc.,"Port Coquitlam, BC V3C 6N2",6311-Food service supervisors,4
,,Gold Star Investments Ltd,"Vancouver, BC V6G 2L8",0631-Restaurant and food service managers,1
,,,,6321-Chefs,1
,,Golden Goose Holdings Ltd,"Whistler, BC V0N 1T0",6311-Food service supervisors,1
,,GolfBC Holdings Inc.,"Whistler, BC V0N 1B4","6313-Accommodation, travel, tourism and related services supervisors",2
,,Gota Mandi Fashions Ltd.,"Surrey, BC V3W 1R1","6342-Tailors, dressmakers, furriers and milliners",2
,,,,"6344-Jewellers, jewellery and watch repairers and related occupations",1
,,Grandview Construction Ltd.,"Delta, BC V4C 6G8",7611-Construction trades helpers and labourers,1
,,Great Canadian Pizza Ltd,"Vancouver, BC V6B 2C9",6322-Cooks,1
,,Green Indian Cuisine Pizza & Sweets Ltd,"SURREY, BC V3W 3J7",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Gremallen Enterprises Limited,"Surrey, BC V3R 3W7",6322-Cooks,2
,,Grewal Indo Canadian Meat Shop Ltd,"ABBOTSFORD, BC V2T 3S5","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
,,GSD Investments Inc dba Subway,"HOPE, BC V0X 1L0","6711-Food counter attendants, kitchen helpers and related support occupations",2
,,Guru Amardas Systems Ltd.,"Surrey, BC V3W 3H7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Guru Ram Das Construction Ltd.,"Surrey, BC V3W 3H7",1311-Accounting technicians and bookkeepers,1
,,Gyu Enterprises Inc.,"Vancouver, BC V6B 2B7",6322-Cooks,1
,,H. A. L. T. Holdings,"Sidney, BC V8L 1K1",6211-Retail sales supervisors,2
,,Hai Phong Vietnamese Restaurant Ltd,"VANCOUVER, BC V6B 6L4",6311-Food service supervisors,2
,,Hamada Japanese Restaurant Ltd.,"Maple Ridge, BC V2X 0L4",6322-Cooks,1
,,Hana Foods Inc.,"PORT COQUITLAM, BC V3C 1K5",6322-Cooks,1
,,Hannam Supermarket Inc.,"Burnaby, BC V3N 4R7",6211-Retail sales supervisors,1
,,Hanok Burnaby Restaurant Ltd,"North Vancouver, BC V7M 1E7",6322-Cooks,1
,,Harambe Ethiopian Restaurant,"VANCOUVER, BC V5N 4B3",6322-Cooks,1
,,Harj Enterprises Ltd dba Subway,"Pitt Meadows, BC V3Y 2J4",6311-Food service supervisors,2
,,Haru Korean Kitchen Inc.,"Vancouver, BC V6B 2N3",6322-Cooks,1
,,Harvest Montessori Preschool & Daycare Ltd.,"Richmond, BC V6X 1C4",4214-Early childhood educators and assistants,1
,,HD Shipping Canada Ltd.,"Langley, BC V1M 3G9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Heart Connection Inc,"Vancouver, BC V6E 1C6",6322-Cooks,1
,,HEM Enterprise Ltd,"Vancouver, BC V6B 2P2",6322-Cooks,1
,,Hirame Sushi Restaurant Ltd.,"ALDERGROVE, BC V4W 3L6",6322-Cooks,1
,,Hive Hair Spa,"Vancouver, BC V6P 4A8",6341-Hairstylists and barbers,2
,,HK Holdings Ltd,"Terrace, BC V8G 1P9",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Hollyburn Family Services Ltd.,"North Vancouver, BC V7M 1A5",4212-Social and community service workers,1
,,Hongdae Chicken Enterprises Ltd.,"Vancouver, BC V6G 1C7",6322-Cooks,1
,,Hong-Min Food Corporation,"Richmond, BC V6X 3K8",6322-Cooks,1
,,Horizonte Imports Inc.,"SURREY, BC V3X 2B6",6211-Retail sales supervisors,1
,,Hothi Enterprises Ltd.,"SURREY, BC V3W 1P8",6311-Food service supervisors,1
,,Hoya Enterprise Inc.,"Vancouver, BC V5X 1X3",6322-Cooks,1
,,Hungry Guys Kitchen Ltd.,"Vancouver, BC V6Z 1L2",0631-Restaurant and food service managers,1
,,Hyack Sushi Inc.,"NEW WESTMINSTER, BC V3M 3N9",6311-Food service supervisors,1
,,,,6322-Cooks,3
,,Ichiban Food & Service Ltd.,"Courtenay, BC V9N 2R5",6322-Cooks,1
,,Iki Japanese Restaurant Ltd.,"Vancouver, BC V6K 2G4",6322-Cooks,1
,,"Imin Consulting (Canada), Ltd.","Vancouver, BC V7Y 1C6",1241-Administrative assistants,1
,,India Bistro Ltd,"Vancouver, BC V6E 1N2",6322-Cooks,2
,,Inhwa Investments Ltd.,"Burnaby, BC V3N 4R7",6322-Cooks,1
,,Inifinity Langley Ventures Inc - Montana 3072,"Langley, BC V3A 9J7",6512-Bartenders,2
,,Inno Foods Inc.,"Coquitlam, BC V3K 7C2",6332-Bakers,1
,,Internation Investments Inc,"Abbotsford, BC V3G 2K8",6311-Food service supervisors,1
,,Irene & Ian Food Inc.,"Vancouver, BC V5Z 1A6",6321-Chefs,1
,,,,6322-Cooks,1
,,Ironwood Bottle Depot Ltd.,"Richmond, BC V7A 4V5",6316-Other services supervisors,1
,,Island Kids Academy Esquimalt Ltd,"Victoria, BC V9A 6H7",4214-Early childhood educators and assistants,1
,,Iwaki Enterprises Ltd dba Yohachi Sushi Japanese Restaurant,"North Vancouver, BC V7M 3J9",6311-Food service supervisors,1
,,J.S.G Dhillon Ltd o/a Nando's Chicken,"LANGLEY, BC V3A 9J9",6322-Cooks,2
,,Japadog Air Inc.,"Vancouver, BC V5X 3E3",6322-Cooks,1
,,Japan Consulting Corporation,"Vancouver, BC V5X 3E3",6311-Food service supervisors,2
,,Japan Systems Inc.,"Vancouver, BC V6B 6H5",1311-Accounting technicians and bookkeepers,1
,,JD's Kitchen & Catering Ltd.,"Prince George, BC V2N 1V8",6322-Cooks,1
,,Jeong Ga Ne Restaurant Ltd.,"Coquitlam, BC V3B 2P5",6322-Cooks,1
,,Jeongsang Language School,"Maple Ridge, BC V2X 2V6",1241-Administrative assistants,1
,,Jerry's Cafe Take Away,"North Vancouver, BC V7P 3N4",6322-Cooks,1
,,Jetra Foods Inc.,"Vancouver, BC V5S 3A8",6311-Food service supervisors,1
,,JGJ Foods Ltd,"VANCOUVER, BC V5M 4V8",6311-Food service supervisors,1
,,Jinsoo Foods Ltd,"Victoria, BC V8V 2G6",6322-Cooks,1
,,JJ Bean Incorporated,"BURNABY, BC V3N 5G4",6311-Food service supervisors,1
,,JJJ Foods Ltd. dba White Spot Restaurant,"PORT COQUITLAM, BC V3B 7Z1",6322-Cooks,1
,,JLMB Holdings Inc,"VANCOUVER, BC V5N 2T6",6311-Food service supervisors,1
,,JMK Mahal Restaurant Ltd,"Maple Ridge, BC V2X 5Y5",6322-Cooks,1
,,Joong Won Restaurant,"Vancouver, BC V6E 2B1",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Jordan Sushi Ltd.,"North Vancouver, BC V7M 2J3",6311-Food service supervisors,1
,,JP Song Holdings Ltd.,"PRINCE RUPERT, BC V8J 1M3",6322-Cooks,2
,,JYS Investment Inc.,"Coquitlam, BC V3B 0G2",6322-Cooks,1
,,K & N Mahal Enterprises Ltd o/a Nando's Chicken,"Vancouver, BC V6M 1Y8",6311-Food service supervisors,1
,,K&W Enterprises Ltd,"Hope, BC V0X 1L4",6322-Cooks,2
,,K. D. Investments Inc,"Prince George, BC V2N 7A1",6311-Food service supervisors,1
,,Kadoya Japanese Restaurant Ltd,"Vancouver, BC V6E 1M5",6322-Cooks,1
,,Kami Strawberry Hill Japanese Restaurant Ltd.,"Surrey, BC V3W 2M1",6322-Cooks,1
,,Kang & Choi Enterprise Ltd.,"Richmond, BC V7A 1W6",6322-Cooks,2
,,Karai Enterprises Ltd.,"Port Hardy, BC V0N 2P0",6322-Cooks,1
,,Kenkar Enterprises Ltd. o/a McDonald's Restaurant,"Victoria, BC V9B 1H8",6311-Food service supervisors,19
,,Ki-Isu Restaurant Inc.,"Vancouver, BC V6Z 2R6",6322-Cooks,2
,,Kim & Kwak Co. Enterprises Ltd.,"Chilliwack, BC V2R 3C7",6322-Cooks,1
,,Kindermatters Enterprises Inc.,"North Vancouver, BC V7P 1S3",4214-Early childhood educators and assistants,1
,,Kirei Cleaning & Building Maintenance Ltd.,"LANGLEY, BC V2Y 3C1",6315-Cleaning supervisors,1
,,Kisoji Japanese Kitchen Inc.,"BURNABY, BC V5C 0C4",6322-Cooks,1
,,Kitanoya Marketing Corp,"Vancouver, BC V5R 5L5",6322-Cooks,2
,,Kitto Japanese House on Granville Ltd.,"Vancouver, BC V6Z 1N9",6322-Cooks,1
,,Kizuna Enterprises Ltd.,"Vancouver, BC V6B 6H5",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,KLSM Holdings Ltd,"BURNABY, BC V5J 2A8",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,1
,,Koho 2678 Food Services Ltd.,"RICHMOND, BC V7B 0A4",6311-Food service supervisors,1
,,Kondi Fitness Inc.,"VANCOUVER, BC V6H 4A6","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Kosoo Restaurant Ltd.,"Vancouver, BC V6G 2G5",6311-Food service supervisors,1
,,Kost Klip Manufacturing Ltd,"Port Coquitlam, BC V3C 2M7",9422-Plastics processing machine operators,2
,,Krishmohan Holdings Ltd,"VICTORIA, BC V8N 5B8",6311-Food service supervisors,1
,,KS Garage Door Ltd.,"Vancouver, BC V5S 2T6",7441-Residential and commercial installers and servicers,1
,,Kuddles Early Infant Stimulation Centre Ltd dba Kuddles Infant Stimulation Centre Ltd.,"North Vancouver, BC V7R 4H8",4214-Early childhood educators and assistants,3
,,Kukan Beauty Ltd.,"VANCOUVER, BC V5L 1Z5",6341-Hairstylists and barbers,1
,,Kumar's Enterprises Ltd,"RICHMOND, BC V6X 1L5",0631-Restaurant and food service managers,1
,,L'Abattoir Restaurant,"VANCOUVER, BC V6B 2J2",6322-Cooks,1
,,Lee Fung Co. Ltd.,"SURREY, BC V4A 4N2",6311-Food service supervisors,2
,,LHJH Holdings Ltd o/a Umai Sushi,"Nanaimo, BC V9T 6M8",6322-Cooks,1
,,Little Koala Montessori Childcare Ltd.,"RICHMOND, BC V6Y 1K9",4214-Early childhood educators and assistants,1
,,Little Munchkin Daycare Ltd.,"VANCOUVER, BC V6P 1L1",4214-Early childhood educators and assistants,4
,,Little Owl Academy Ltd.,"KELOWNA, BC V1V 1N2",4214-Early childhood educators and assistants,1
,,Little Tokyo Japanese Restaurant,"North Vancouver, BC V7M 3K2",6322-Cooks,1
,,Little Wonders Montessori Childcare and Preschool Ltd.,"ABBOTSFORD, BC V2S 2P5",4214-Early childhood educators and assistants,1
,,Livart Furniture Canada Co. Ltd.,"Burnaby, BC V5J 1E9",1311-Accounting technicians and bookkeepers,1
,,Longtail Kitchen Inc.,"New Westminster, BC V3M 6B9",6322-Cooks,1
,,Lougheed Wasabi Sushi & Grill Ltd,"Maple Ridge, BC V2X 2S1",6311-Food service supervisors,1
,,Love Meats Ltd.,"Surrey, BC V3W 5A5",6211-Retail sales supervisors,1
,,"Lucky 6 International Industrial Co., Ltd","Chilliwack, BC V2R 3W8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Luxor Hair Salon Ltd,"Vancouver, BC V6M 1Z6",6341-Hairstylists and barbers,1
,,M & S Sushi Ltd.,"Kamloops, BC V2E 2R7",6311-Food service supervisors,1
,,Malwa Motels Inc.,"Golden, BC V0A 1H1","6313-Accommodation, travel, tourism and related services supervisors",1
,,Mangez Mangez Cafe Ltd.,"Vancouver, BC V6E 4A6",6322-Cooks,2
,,Manohar Vegetarian Bakery Ltd.,"Surrey, BC V3W 1R1",6211-Retail sales supervisors,1
,,Manrisung Korean Restaurant Ltd.,"Richmond, BC V6X 1A7",0631-Restaurant and food service managers,1
,,Maple Leaf Indian Cuisine Ltd,"Maple Ridge, BC V2X 1X6",6322-Cooks,1
,,Maria's Gelato Ltd.,"LANGLEY, BC V1M 2R7",6311-Food service supervisors,1
,,Marutama Food Services Ltd,"Vancouver, BC V6G 2J6",6322-Cooks,2
,,Maxim's Bakery Ltd,"Vancouver, BC V5N 4E9",6322-Cooks,4
,,MCM Food Services Inc.,"Parksville, BC V9P 1K8",6311-Food service supervisors,8
,,McPherson & Dempsey Ltd.,"Burnaby, BC V5J 4V6",6311-Food service supervisors,1
,,Mega Japanese Restaurant Ltd,"Richmond, BC V7E 2Y4",6311-Food service supervisors,1
,,MICOB Enterprises Ltd,"Mackenzie, BC V0J 2C0",6211-Retail sales supervisors,1
,,Midam Cafe Richmond Ltd.,"RICHMOND, BC V6X 4A9",6311-Food service supervisors,1
,,Miku Restaurant Toronto LTD,"VANCOUVER, BC V6C 1S4",6322-Cooks,1
,,Miku Restaurant Vancouver Ltd,"VANCOUVER, BC V6C 1S4",6322-Cooks,1
,,Millennium Tents and Party Rentals Ltd.,"Vancouver, BC V6P 6R9",1241-Administrative assistants,1
,,Milosh Foodattic Ltd.,"VANCOUVER, BC V6B 1G8",6322-Cooks,3
,,Mimora Holding Inc,"Vancouver, BC V6G 1C3",6311-Food service supervisors,1
,,Mirch Masala Restaurant Inc,"Delta, BC V4C 6S3",6322-Cooks,2
,,Mishan Foods Inc.,"PRINCETON, BC V0X 1W0",6322-Cooks,1
,,Mitchell Island Terminals Ltd.,"Richmond, BC V6V 1M8",1241-Administrative assistants,1
,,MJC Enterprises Ltd,"Victoria, BC V8T 5E4",6311-Food service supervisors,1
,,MJJ Ventures Ltd.,"Vancouver, BC V6B 6A1",6311-Food service supervisors,1
,,Momijian Japanese Cuisine Ltd.,"North Vancovuer, BC V7G 1C3",6311-Food service supervisors,1
,,Momo Sushi Mission Kelowna Ltd,"Kelowna, BC V1Y 1W3",6322-Cooks,1
,,Momoya Sushi Inc.,"VANCOUVER, BC V6E 1C1",6322-Cooks,1
,,Money's Beauty Hair Salon Ltd.,"Burnaby, BC V3N 3M4","0651-Managers in customer and personal services, n.e.c.",1
,,Moon Holdings Ltd.,"Vancouver, BC V6B 1Y1",6321-Chefs,1
,,Mountainview Group Daycare 7 Inc,"Coquitlam, BC V3J 4E7",4214-Early childhood educators and assistants,1
,,Mr. Shawarma Cafe Ltd.,"Richmond, BC V7A 5C9",6322-Cooks,1
,,Mr. Shims Sushi Restaurant Ltd.,"Prince George, BC V2K 3A4",6322-Cooks,1
,,Mr. Sushi Lonsdale Inc.,"North Vancouver, BC V7M 2E7",6322-Cooks,1
,,Mr. Sushi Restaurant Inc.,"North Vancouver, BC V7J 2A3",6322-Cooks,1
,,"My Shanti by Vikram Vij, Inc.","VANCOUVER, BC V5Y 1M8",6322-Cooks,1
,,My-Chosen Cafe Ltd,"Victoria, BC V9C 3Z3",6322-Cooks,2
,,Nagomi Project Ltd.,"Vancouver, BC V6Z 1V3",6322-Cooks,1
,,Nagoya Sushi,"Surrey, BC V3R 3W7",6322-Cooks,1
,,Nahm Thai Bistro Ltd.,"Surrey, BC V3T 1N6",6322-Cooks,1
,,,,6513-Food and beverage servers,1
,,Nam Han San Sung Korean Restaurant Ltd.,"North Vancouver, BC V7L 1C2",6322-Cooks,2
,,New Beginnings Early Learning (White Rock) Ltd.,"Surrey, BC V4A 2H9",4214-Early childhood educators and assistants,1
,,New Happy Hair Cut & Beauty Parlour Ltd,"Delta, BC V4C 6R6",6341-Hairstylists and barbers,1
,,Nirvana Restaurant Ltd,"Vancouver, BC V5M 3X9",6311-Food service supervisors,1
,,Nodaji Enterprises Ltd,"WEST VANCOUVER, BC V7V 1J4",6322-Cooks,1
,,Non Stop Pizza & Indian Cuisine Ltd.,"Surrey, BC V3W 3N1",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,1
,,North Douglas Child Care Society,"VICTORIA, BC V8Z 6R9",4214-Early childhood educators and assistants,1
,,North Road Trading Ltd,"Richmond, BC V6X 4C4",6322-Cooks,1
,,Nostalgia Fast Foods Inc. dba A & W Restaurant,"Chae, BC V0E 1M0",6311-Food service supervisors,2
,,Nu Tek Doors Ltd,"SURREY, BC V3W 4K1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Nuba Restaurant Group INC,"VANCOUVER, BC V6B 2N4",6322-Cooks,7
,,Oak Pizza Factory Ltd.,"VANCOUVER, BC V6P 4A9",6322-Cooks,1
,,OCK Tour Ltd,"Coquitlam, BC V3K 3V8",1311-Accounting technicians and bookkeepers,1
,,Octopus Academy Inc.,"RICHMOND, BC V6H 2H1",4214-Early childhood educators and assistants,3
,,OH!ZZHU SAM KOREAN RESTAURANT,"BURNABY, BC V3N 1B4",6322-Cooks,1
,,Ok Globalnet Trading Ltd.,"SURREY, BC V3Z 3S6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Olive & Anchor Restaurant Ltd.,"West Vancouver, BC V7W 2H1",6322-Cooks,2
,,Olive Branch Childcare Ltd.,"WEST VANCOUVER, BC V7S 1N5",4214-Early childhood educators and assistants,1
,,Olive Grove Childcare Ltd,"North Vancouver, BC V7J 1Z8",4214-Early childhood educators and assistants,1
,,On The Waterfront Enterprises Inc.,"Vancouver, BC V6G 3G1",6322-Cooks,1
,,One Ocean Expeditions Inc,"Squamish, BC V8B 0A6",0632-Accommodation service managers,1
,,,,"4167-Recreation, sports and fitness policy researchers, consultants and program officers",1
,,,,6321-Chefs,4
,,,,6532-Outdoor sport and recreational guides,7
,,Ono's Sushi Ltd,"Abbotsford, BC V2T 0C5",6322-Cooks,1
,,Opa Japanese Sushi Bar,"Prince Rupert, BC V8J 1N3",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,Optimus Garden Party Inc.,"Vancouver, BC V6A 2P8",5244-Artisans and craftspersons,1
,,Osho Japanese Restaurant Ltd.,"Lake Country, BC V4V 1P5",6322-Cooks,1
,,P.P.M.C. Gill Ltd,"Abbotsford, BC V2S 4L5",6322-Cooks,3
,,Park Seong Bea Enterprise Ltd.,"Victoria, BC V8T 2C4",6322-Cooks,1
,,Parker Bizness Enterprises Ltd,"Revelstoke, BC V0E 2S0",6311-Food service supervisors,1
,,PASSION8 ENTERPRISES LTD,"VANCOUVER, BC V5Z 2V9",6322-Cooks,1
,,PD Plumbing & Heating Ltd,"Surrey, BC V3S 8Z7",7611-Construction trades helpers and labourers,2
,,Pembo Foods Inc.,"NEW WESTMINSTER, BC V3M 5X2",6513-Food and beverage servers,3
,,PH Restaurants Limited Partnership,"VANCOUVER, BC V6B 0N8",6311-Food service supervisors,12
,,Pinar Enterprises Ltd.,"Vancouver, BC V5L 3W9",6311-Food service supervisors,1
,,Platform Enterprises Canada Ltd.,"Chilliwack, BC V2R 1A1",0631-Restaurant and food service managers,1
,,PNY Enterprises Inc.,"MERRITT, BC V1K 1C4",6211-Retail sales supervisors,1
,,Portofino Bakery Ltd.,"Victoria, BC V8M 1Z9",6332-Bakers,3
,,Potter's Garden Korean Restaurant Ltd.,"Burnaby, BC V5H 2G3",6322-Cooks,1
,,Prado Cafe Ltd.,"VANCOUVER, BC V6B 1G8",6311-Food service supervisors,1
,,Premier Montessori Academy Ltd.,"RICHMOND, BC V6X 1S1",4214-Early childhood educators and assistants,2
,,Primary Holdings Ltd.,"Vancouver, BC V6E 1B5",6322-Cooks,1
,,Prismatic Coast Investments Inc.,"Vancouver, BC V6E 1N1",6322-Cooks,1
