"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (April-June)",,,,,
Province/Territory,Stream,Employer Name,Address,Occupation,Approved Positions
British Columbia,    High Wage,1132935 BC Ltd. o/a Ah Long Sushi,"Vancouver, BC V6K 2G2",0631-Restaurant and food service managers,1
British Columbia,    High Wage,1169906 BC Ltd,"Vancouver, BC V5W 2Z8",0631-Restaurant and food service managers,1
British Columbia,    High Wage,1174846 B.C. Ltd.,"RICHMOND, BC V6X 2C9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,1227364 BC Ltd.,"Surrey, BC V3V  7V",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,1232585 B.C. Ltd. o/a Zed to Health,"Surrey, BC V3W 2W3",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,1888307 Alberta Inc.,"Port Moody, BC V3H 0H6",7332-Appliance servicers and repairers,1
British Columbia,    High Wage,663315 B.C. Ltd,"Surrey, BC V3W 5A3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,675490 B.C. LTD,"White Rock, BC V4B 1E1",0632-Accommodation service managers,1
British Columbia,    High Wage,A&B DEVELOPMENT CORP,"west vancouver, BC V7S 2E9",7242-Industrial electricians,1
British Columbia,    High Wage,A&B DEVELOPMENT CORP,"west vancouver, BC V7S 2E9",7281-Bricklayers,2
British Columbia,    High Wage,A.S.I. Painting Ltd.,"Surrey, BC V3W 3H1",1241-Administrative assistants,1
British Columbia,    High Wage,A.S.I. Painting Ltd.,"Surrey, BC V3W 3H1",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Abounding Enterprises Co. Ltd.,"Vancouver, BC V5Z 0E9",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Acme Transport Ltd,"Surrey, BC V3W 4E9",7511-Transport truck drivers,20
British Columbia,    High Wage,Agoongyi Korean Restaurant Ltd.,"Surrey, BC V3S 6K7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Akal Diesel Truck & Trailer Repair Ltd,"Surrey, BC V3V 3K2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,Allcan Holdings (AHL) Ltd.,"Abbotsford, BC V2T 6Y7",7511-Transport truck drivers,10
British Columbia,    High Wage,Allstar Holdings Inc.,"Vancouver, BC V5L 1T5","7384-Other trades and related occupations, n.e.c.",1
British Columbia,    High Wage,Alpine Building Maintenance,"Delta, BC V4G 0A4","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,AMAN Logistics Ltd.,"Surrey, BC V3Z 9V2",7511-Transport truck drivers,20
British Columbia,    High Wage,Amazing Tutors Inc.,"Surrey, BC V3W 2N8",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,American Top Rider Freight Ltd,"Surrey, BC V3S 0X3",7511-Transport truck drivers,6
British Columbia,    High Wage,Ancor Transport Ltd,"Surrey, BC V3W 3E9",7511-Transport truck drivers,20
British Columbia,    High Wage,APEX Insurance Services Ltd.,"Richmond, BC V6X 3X2","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,APM TRANSPORTATION INC,"LANGLEY, BC V2Z 3A4",7511-Transport truck drivers,6
British Columbia,    High Wage,APNA Y XPRESS LTD.,"SURREY, BC V3V 1M2",7511-Transport truck drivers,5
British Columbia,    High Wage,Apple Transport Ltd.,"SURREY, BC V3S 5X5",7511-Transport truck drivers,7
British Columbia,    High Wage,ARKTEK XPRESS LTD.,"Surrey, BC V3W 1A4",7511-Transport truck drivers,3
British Columbia,    High Wage,Armsby Holdings Ltd.,"Armstrong, BC V0E 1B0",6211-Retail sales supervisors,1
British Columbia,    High Wage,ATWAL BROTHERS TRUCKING INC.,"Surrey, BC V3W 7S2",7511-Transport truck drivers,3
British Columbia,    High Wage,Aujla Drywall Ltd.,"Surrey, BC V3V 6L2","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Aurizon Logistics Inc,"Surrey, BC V3V 0C2",7511-Transport truck drivers,2
British Columbia,    High Wage,Axis Systems Group Inc.,"Burnaby, BC V5A 3C2",7245-Telecommunications line and cable workers,1
British Columbia,    High Wage,B FAST CONTRACTING LTD,"Surrey, BC V3T 3E6",1221-Administrative officers,1
British Columbia,    High Wage,BAAZ TRUCKING LTD.,"SURREY, BC V3W 3S8",7511-Transport truck drivers,4
British Columbia,    High Wage,BABAK FOOD EQUIPMENT LTD.,"Burnaby, BC V5K 4T3",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Bae & Cho Holdings Ltd.,"Vancouver, BC V6J 3Y4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,BD Construction Ltd.,"Surrey, BC V3S 9A6",7271-Carpenters,1
British Columbia,    High Wage,BILLG TRANSPORT LTD.,"SURREY, BC V3W 3V2",7511-Transport truck drivers,1
British Columbia,    High Wage,Black Tie Services Inc,"Vancouver, BC V5L 1K3","7384-Other trades and related occupations, n.e.c.",1
British Columbia,    High Wage,Blue Pacific Drywall Ltd.,"Surrey, BC V3W 9N2",1221-Administrative officers,1
British Columbia,    High Wage,Blue Water System Ltd.,"Delta, BC V4G 1B4","9227-Supervisors, other products manufacturing and assembly",1
British Columbia,    High Wage,Branda Contracting Inc.,"Vancouver, BC V6G 1H2",7283-Tilesetters,1
British Columbia,    High Wage,Bridgeview Marine Ltd.,"Delta, BC V4K 5B9","7334-Motorcycle, all-terrain vehicle and other related mechanics",1
British Columbia,    High Wage,Busan Daeji Gukbap Restaurant Ltd,"BURNABY, BC V3N 4R7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Can American Enterprises Ltd,"Surrey, BC V3W 5A8",7511-Transport truck drivers,8
British Columbia,    High Wage,Canada Brightway shipping Ltd,"Delta, BC V3M 6M8","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,CANADA TABLOID MEDIA INC,"Surrey, BC V3W 1R1",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Canadian Valley Growers Ltd.,"Aldergrove, BC V4W 1E7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Canadoo Tile & Floors Inc.,"Surrey, BC V4N 5Y3",7283-Tilesetters,2
British Columbia,    High Wage,CAN-PACIFIC EXPRESS INC.,"SURREY, BC V3W 3B2",7511-Transport truck drivers,8
British Columbia,    High Wage,Canwest Tanks & Ecological Systems Ltd,"Surrey, BC V3V 3X4",7233-Sheet metal workers,1
British Columbia,    High Wage,Capital Cargo Carriers Ltd.,"Surrey, BC V3V 6K1",7511-Transport truck drivers,4
British Columbia,    High Wage,CB Island Fisheries Ltd,"Vancouver, BC V6G 2Z6",8441-Fishing vessel deckhands,2
British Columbia,    High Wage,Cioppino's Restaurants Ltd.,"Vancouver, BC V6B 5P6",6321-Chefs,1
British Columbia,    High Wage,City Link Carriers Ltd.,"Surrey, BC V3W 3E9",7511-Transport truck drivers,5
British Columbia,    High Wage,CL ACCOUNTING AND TAX SERVICES LTD.,"VANCOUVER, BC V5R 5W2",1221-Administrative officers,1
British Columbia,    High Wage,Clearsea Foods Ltd.,"Surrey, BC V3S 6K7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Columbus Meat Market Ltd,"Vancouver, BC V5L 4T6",6322-Cooks,1
British Columbia,    High Wage,Craftsman Collision (1981) Ltd.,"North Vancouver, BC V7P 1A1",7322-Motor vehicle body repairers,1
British Columbia,    High Wage,D & N SEAFOOD LTD,"Prince Rupert, BC V8J 1C8",7511-Transport truck drivers,2
British Columbia,    High Wage,D.Garcha Trucking Ltd,"Surrey, BC V3S 0Y9",7511-Transport truck drivers,7
British Columbia,    High Wage,Dapper Labs Inc,"Vancouver, BC V5T 0H8","5131-Producers, directors, choreographers and related occupations",1
British Columbia,    High Wage,David & Kevin Enterprises Ltd.,"Aldergrove, BC V4W 3N5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Deep & Max Plumbing & Heating Ltd.,"Surrey, BC V3W 0Y1",7251-Plumbers,1
British Columbia,    High Wage,DEEPCOVE OSAKA JAPANESE RESTAURANT,"north vancouver, BC V7G 2C1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,DIGI117 Ltd.,"Vancouver, BC V7X 1L3",1122-Professional occupations in business management consulting,1
British Columbia,    High Wage,Dominion Masonry ltd,"Burnaby, BC V5A 1V3",7294-Painters and decorators (except interior decorators),3
British Columbia,    High Wage,Double Negative Canada Productions Ltd.,"Vancouver, BC V5Y 4A6",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Dr Ali Safaei Inc.,"Vancouver, BC V6B 4N9",3222-Dental hygienists and dental therapists,1
British Columbia,    High Wage,Dr. Sanaz Najian Corp.,"Burnaby, BC V5E 2V1",1221-Administrative officers,1
British Columbia,    High Wage,Dream Electric Ltd.,"Surrey, BC V3W 6M8",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Edge line drywall systems ltd,"Surrey, BC V3S 9G9","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Elante Transport Ltd,"Abbotsford, BC V2S 7A7",7511-Transport truck drivers,4
British Columbia,    High Wage,EMBASSY TRANSPORTATION INC.,"RICHMOND, BC V6X 0B8",1221-Administrative officers,1
British Columbia,    High Wage,ENOCH WEALTH INC.,"Vancouver, BC V6P 6G5",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Envision Transport Ltd.,"Surrey, BC V3R 2S8",7511-Transport truck drivers,6
British Columbia,    High Wage,Euro Asia Transload Inc,"Richmond, BC V6W 0A2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Euro Asia Transload Inc,"Richmond, BC V6W 0A2",7237-Welders and related machine operators,3
British Columbia,    High Wage,Express Landscaping Ltd.,"Richmond, BC V6Y 2V3",2225-Landscape and horticulture technicians and specialists,2
British Columbia,    High Wage,Fast Locksmith & Garage Doors Ltd.,"Coquitlam, BC V3E 2A4","7384-Other trades and related occupations, n.e.c.",2
British Columbia,    High Wage,Feida Express Ltd,"Richmond, BC V6Y 2B3",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Fine Drywall Ltd.,"Surrey, BC V3S 3C3",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Fraser Valley Exports Inc.,"Delta, BC V3M 6Y9",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Freight Chauffeur Transport Ltd.,"Surrey, BC V3Z 0L2",7511-Transport truck drivers,10
British Columbia,    High Wage,FreshWorks Studio Inc.,"Victoria, BC V8W 1E1",2175-Web designers and developers,1
British Columbia,    High Wage,FULL LOAD TRANSPORT SERVICES INC,"SURREY, BC V3S 8A5",7511-Transport truck drivers,7
British Columbia,    High Wage,FUTURE TILE INC,"VANCOUVER, BC V5R 2K7",1241-Administrative assistants,1
British Columbia,    High Wage,G.K. Drywall Ltd,"Surrey, BC V3X 0H7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Gavin Painting Ltd,"Surrey, BC V3W 0T8",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,Geyser Transport Ltd.,"Surrey, BC V3W 1A4",7511-Transport truck drivers,6
British Columbia,    High Wage,Gillies Palmer Bos & Stone Physiotherapist Corporation,"Kelowna, BC V1Y 2E6",3142-Physiotherapists,2
British Columbia,    High Wage,Great Century Drywall Ltd,"Vancouver, BC V5X 2N5","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Green West Landscaping & Fencing Ltd.,"Surrey, BC V3S 4V4","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
British Columbia,    High Wage,Greenside environmental and demolition Ltd.,"Delta, BC V4M 2J9",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,GURU RAMDAS CONSTRUCTION LTD.,"SURREY, BC V3W 3H7",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Hamada Japanese Restaurant Ltd.,"Maple Ridge, BC V2X 0L4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Harbor Trucking Ltd.,"Abbotsford, BC V2T 6E7",7511-Transport truck drivers,12
British Columbia,    High Wage,Hazelmere Foods Ltd.,"Surrey, BC V3W 2V7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
British Columbia,    High Wage,HD Plastic Product Canada Inc,"Richmond, BC V7A 5E5","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,HD SHIPPING LTD,"Langley, BC V1M 3G9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,HD SHIPPING LTD,"Langley, BC V1M 3G9","7305-Supervisors, motor transport and other ground transit operators",1
British Columbia,    High Wage,Heart Connection Inc.,"Vancouver, BC V6E 1C6",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Houston Landscapes LTD.,"North Vancouver, BC V7H 2M2",2225-Landscape and horticulture technicians and specialists,1
British Columbia,    High Wage,Hoya Enterprise Inc.,"Vancouver, BC V6R 2J1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,HUNTINGTON TRANSPORT INC,"SURREY, BC V3V 7C6",7511-Transport truck drivers,5
British Columbia,    High Wage,I Bhullar Trucking Ltd.,"Richmond, BC V6W 1H1",7511-Transport truck drivers,3
British Columbia,    High Wage,Ikon Ventures Inc.,"Surrey, BC V3Z 1N1","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Industrial Light & Magic (Vancouver) Inc.,"Vancouver, BC V6B 1A1",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,INNOV8 DIGITAL SOLUTIONS INC.,"KELOWNA, BC V1X 5B8",6221-Technical sales specialists - wholesale trade,1
British Columbia,    High Wage,INTERMOUNTAIN TRUCKING LTD,"Delta, BC V4C 6L9",7511-Transport truck drivers,8
British Columbia,    High Wage,iPro Management Group Corp,"Richmond, BC V6V 2K9","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,ISB Transport Ltd.,"Abbotsford, BC V2T 5B9",7511-Transport truck drivers,4
British Columbia,    High Wage,Isidore Landsapes Inc,"Richmond, BC V6V 1M3",7271-Carpenters,1
British Columbia,    High Wage,ITM TRUCKING LTD.,"PRINCE GEORGE, BC V2N 5T3",7511-Transport truck drivers,5
British Columbia,    High Wage,J.SUN FOOD CORPORATION,"Surrey, BC V3S 6K7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,JAPAN ABROAD NETWORK LINK Ltd.,"Vancouver, BC V6B 2X1",6314-Customer and information services supervisors,1
British Columbia,    High Wage,Jeyw Kawa Ltd,"Vernon, BC V1T 5M6",6322-Cooks,1
British Columbia,    High Wage,Johal Painting & Coating Ltd.,"Delta, BC V4C 1V4",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,JR DMR & Construction,"Richmond, BC V6V 2H9","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Jumbo Trucking Ltd.,"Surrey, BC V3W 2K5",7511-Transport truck drivers,2
British Columbia,    High Wage,Kadoya Japanese Restaurant Ltd.,"Vancouver, BC V6E 1M5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Kerchin Enterprises Ltd.,"Surrey, BC V3W 2N5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Kids Zone Child Care Centre #2 Ltd.,"Surrey, BC V3V 4B9",4214-Early childhood educators and assistants,2
British Columbia,    High Wage,Kiisu Restaurant Inc,"Vancouver, BC V6Z 2R6",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Kincora Operations CO. Ltd,"Richmond, BC V7E 2K5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,KSJ Board & Cabinet Inc.,"Pitt Meadows, BC V3Y 0E2",2175-Web designers and developers,1
British Columbia,    High Wage,KURALI BROTHERS DRYWALL LTD.,"Surrey, BC V3W 2E5","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,L.P.S.3 INDUSTRIES LTD,"Delta, BC V4K 3N3",7511-Transport truck drivers,1
British Columbia,    High Wage,Lally Bros Holding Ltd,"Richmond, BC V6V 1M8",7511-Transport truck drivers,7
British Columbia,    High Wage,Lee & Seo Holdings Ltd.,"Surrey, BC V3W 1P6",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Libra Envelope Investment Ltd.,"Port Coquitlam, BC V3C 2M8",7335-Other small engine and small equipment repairers,1
British Columbia,    High Wage,Lloyd King Construction Ltd,"Prince George, BC V2K 4G5",7271-Carpenters,1
British Columbia,    High Wage,M & S Truck Repair Ltd.,"Surrey, BC V3S 1X7",7511-Transport truck drivers,4
British Columbia,    High Wage,M&J Mobile Rentals Inc.,"Delta, BC V4G 1C6",2241-Electrical and electronics engineering technologists and technicians,1
British Columbia,    High Wage,Madras Club House Ltd.,"Surrey, BC V3W 2P2",6322-Cooks,1
British Columbia,    High Wage,MAINLAND HARD CHROME & HYDRAULICS LTD.,"PORT COQUITLAM, BC V3C 2M7",7231-Machinists and machining and tooling inspectors,1
British Columbia,    High Wage,Maple Eagle Freight Systems Inc.,"Delta, BC V4C 3P6",7511-Transport truck drivers,1
British Columbia,    High Wage,MARBEC BUILD-ALL LTD,"Burnaby, BC V5G 2E3",7282-Concrete finishers,1
British Columbia,    High Wage,Means Holdings Ltd.,"Vancouver, BC V5Z 1K7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Means Holdings Ltd.,"Vancouver, BC V5Z 1K7",1241-Administrative assistants,1
British Columbia,    High Wage,Mega Japanese Restaurant Ltd.,"Richmond, BC V7E 2Y4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Mercedes Lane Fashions & Furniture Ltd.,"Comox, BC V9M  3M",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Mile High Concrete Ltd.,"Surrey, BC V3S 5G6",7271-Carpenters,1
British Columbia,    High Wage,Mile High Concrete Ltd.,"Surrey, BC V3S 5G6",7282-Concrete finishers,2
British Columbia,    High Wage,MJT Management Ltd,"Sidney, BC V8L 2X3",3233-Licensed practical nurses,1
British Columbia,    High Wage,Narain Transport Ltd.,"MISSION, BC V2V 3K8",7511-Transport truck drivers,3
British Columbia,    High Wage,Natural immix Health Ltd.,"Port Coquitlam, BC V3C 6P4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Navmukh Enterprises Ltd,"Surrey, BC V3W 1A4",1221-Administrative officers,1
British Columbia,    High Wage,New Capital Roadways Ltd.,"Abbotsford, BC V2T 6H7",7511-Transport truck drivers,9
British Columbia,    High Wage,NM Freight Ltd,"Burnaby, BC V5H 4B8",7511-Transport truck drivers,4
British Columbia,    High Wage,North Coast Trucking Ltd.,"Abbotsford, BC V2T 6J2",7511-Transport truck drivers,12
British Columbia,    High Wage,Northern Coast Xpress Ltd.,"Surrey, BC V3X 2C7",7511-Transport truck drivers,6
British Columbia,    High Wage,Northern Health Authority,"Prince George, BC V2L 5B8",3112-General practitioners and family physicians,1
British Columbia,    High Wage,NORTHWEST FREIGHTWAYS LTD,"SURREY, BC V3V 3Y5",7511-Transport truck drivers,10
British Columbia,    High Wage,NOVASTONE INC,"Burnaby, BC V5A 1T4",2253-Drafting technologists and technicians,1
British Columbia,    High Wage,NSR TRANSPORT LTD.,"SURREY, BC V3W 1K6",7511-Transport truck drivers,5
British Columbia,    High Wage,Oceania Pacific Freight Inc.,"surrey, BC V3X 2J2",7511-Transport truck drivers,6
British Columbia,    High Wage,Olson Projects Ltd,"Golden, BC V0A 1H2",7271-Carpenters,1
British Columbia,    High Wage,Omni Drywall Ltd,"Surrey, BC V3W 0A8",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,Onex Enterprises Inc.,"Surrey, BC V3W 0R6",1241-Administrative assistants,1
British Columbia,    High Wage,Optimum Electrical Ltd,"Delta, BC V4C 6N8","7202-Contractors and supervisors, electrical trades and telecommunications occupations",1
British Columbia,    High Wage,Pacific Lumber Remanufacturing Inc.,"Surrey, BC V3R 0H5","9215-Supervisors, forest products processing",1
British Columbia,    High Wage,Pannu Bros. Trucking Ltd.,"Abbotsford, BC V4X 1G2",7511-Transport truck drivers,20
British Columbia,    High Wage,Pattern Logistics Inc,"Abbotsford, BC V2S 7T9",7511-Transport truck drivers,3
British Columbia,    High Wage,PEOPLE EXPRESS TRANSPORTS LTD.,"Richmond, BC V7A 3A8",7511-Transport truck drivers,30
British Columbia,    High Wage,POLAR EXTERIOR INC.,"PORT COQUITLAM, BC V3C 5Y8",7271-Carpenters,5
British Columbia,    High Wage,Polycrete Restorations Ltd.,"Coquitlam, BC V3K 5B1",7282-Concrete finishers,1
British Columbia,    High Wage,Power Star Electrical Ltd.,"Surrey, BC V3W 9E2",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,Pro Max Trucking Ltd.,"Surrey, BC V3V 4B5",7511-Transport truck drivers,16
British Columbia,    High Wage,Protec Vertical Solutions Ltd.,"North Vancouver, BC V7J 3S9","7384-Other trades and related occupations, n.e.c.",2
British Columbia,    High Wage,Proud Refrigerators Inc,"Burnaby, BC V5G 4K4",1241-Administrative assistants,1
British Columbia,    High Wage,Provincial Health Services Authority,"Vancouver, BC V6H 1G9",3111-Specialist physicians,1
British Columbia,    High Wage,PRUDENTIAL TRANSPORTATION LTD,"Surrey, BC V3W 1R1",7511-Transport truck drivers,5
British Columbia,    High Wage,R Uppal Trucking Ltd,"Richmond, BC V6V 1H9",7511-Transport truck drivers,6
British Columbia,    High Wage,R&P logistics Ltd,"Maple Ridge, BC V2X 2Y6",7511-Transport truck drivers,6
British Columbia,    High Wage,Rahelu Plumbing & Heating Ltd.,"Surrey, BC V3W 0A6",7251-Plumbers,1
British Columbia,    High Wage,Rai Express Lines Ltd,"Surrey, BC V3W 0M8",7511-Transport truck drivers,6
British Columbia,    High Wage,RDX Royal Drivers Xpress INC.,"Abbotsford, BC V2T 2V3",7511-Transport truck drivers,4
British Columbia,    High Wage,Reason Investment Advisors Ltd,"RICHMOND, BC V6X 2C9","0121-Insurance, real estate and financial brokerage managers",1
British Columbia,    High Wage,Redline Ventures Ltd,"VANCOUVER, BC V5R 3B9","0014-Senior managers - health, education, social and community services and membership organizations",1
British Columbia,    High Wage,Regal Transport Ltd,"Abbotsford, BC V2T 6L9",7511-Transport truck drivers,10
British Columbia,    High Wage,RELIANCE LOGISTICS INC,"Surrey, BC V3S 1X7",7511-Transport truck drivers,12
British Columbia,    High Wage,RJJ STUCCO CO LTD,"Vancouver, BC V5X 4C9","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,ROADLINE TRUCKING LTD,"Abbotsford, BC V2T 0G4",7511-Transport truck drivers,3
British Columbia,    High Wage,Roadmaster Logistics Inc.,"Surrey, BC V3V 5V7",7511-Transport truck drivers,4
British Columbia,    High Wage,ROOTS GOODS CARRIER LTD.,"ABBOTSFORD, BC V2T 6Y5",7511-Transport truck drivers,20
British Columbia,    High Wage,Rose Consulting Services Ltd.,"North Vancouver, BC V7M 1V5",1221-Administrative officers,1
British Columbia,    High Wage,RRA Trucking Ltd.,"Surrey, BC V4N 5J1",7511-Transport truck drivers,4
British Columbia,    High Wage,Sabai Thai Spa Inc.,"Port Coquitlam, BC V3B 1A8",3232-Practitioners of natural healing,2
British Columbia,    High Wage,SAN INDUSTRIES LTD.,"LANGLEY, BC V1M 3N8","1211-Supervisors, general office and administrative support workers",1
British Columbia,    High Wage,Sandhu Express Inc,"Vancouver, BC V6Z 3C2",7511-Transport truck drivers,5
British Columbia,    High Wage,Santokh Dulai Trucking Ltd.,"Surrey, BC V3V 7W2",7511-Transport truck drivers,3
British Columbia,    High Wage,Scancore Ltd.,"Burnaby, BC V5J 3J3",7282-Concrete finishers,1
British Columbia,    High Wage,Sea World Fisheries Ltd,"Vancouver, BC V5L 1L9",1225-Purchasing agents and officers,1
British Columbia,    High Wage,Seaspan ULC,"North Vancouver, BC V7P 2R1",1223-Human resources and recruitment officers,1
British Columbia,    High Wage,Seaville Transport Logistics Ltd,"Richmond, BC V6V 1L6",7511-Transport truck drivers,2
British Columbia,    High Wage,Sffron Meals Ltd.,"Port Coquitlam, BC V3C 0A4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Shuang Music Ltd.,"west vancouver, BC V7V 1J4","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Siber Facade Group Inc.,"Burnaby, BC V5J 0A3",0711-Construction managers,1
British Columbia,    High Wage,Sigma Cabinets Inc,"Surrey, BC V3W 1V9",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Silverstone Trucking LTD.,"Surrey, BC V3Z 1B1",7511-Transport truck drivers,1
British Columbia,    High Wage,Simple Remedies Herbal Solutions Ltd.,"Victoria, BC V8V 3K4",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Skyline Projects Ltd,"Surrey, BC V3W 0K3",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,Source One Transport Ltd.,"Delta, BC V4G 1M5",7511-Transport truck drivers,6
British Columbia,    High Wage,SPARK INTERNATIONAL TRADING LTD.,"Burnaby, BC V5E 1C4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,SPEEDHAUL TRUCKING INC.,"Abbotsford, BC V4X 1L3",7511-Transport truck drivers,3
British Columbia,    High Wage,Speedoline transport Ltd,"Abbotsford, BC V2T 6J7",7511-Transport truck drivers,15
British Columbia,    High Wage,SRT Logistics Inc,"Abbotsford, BC V3G 0A1",7511-Transport truck drivers,5
British Columbia,    High Wage,SSB Trucking Ltd,"Surrey, BC V3W 3A5",7511-Transport truck drivers,4
British Columbia,    High Wage,Standard Insulation and Siding Ltd.,"Surrey, BC V3W 8J9",0711-Construction managers,1
British Columbia,    High Wage,Standard Plumbing & Heating Ltd.,"Surrey, BC V3W 0K5",7251-Plumbers,2
British Columbia,    High Wage,StarFish Product Engineering Inc,"Victoria, BC V8Z 1E7","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,Starmax Transport Ltd.,"SURREY, BC V3S 7Y8",7511-Transport truck drivers,6
British Columbia,    High Wage,Studio 12 MOvies & Photography Ltd,"Surrey, BC V3W 3A8",5222-Film and video camera operators,1
British Columbia,    High Wage,SU&YOUNG FOODS LTD,"Burnaby, BC V5C 0B8",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Suman Auluck Physical Therapist Corporation,"Surrey, BC V3V 5V7",3236-Massage therapists,1
British Columbia,    High Wage,Super Bee Transport Ltd.,"Abbotsford, BC V4X 2N3",7511-Transport truck drivers,4
British Columbia,    High Wage,Supersonic Transport Ltd,"Surrey, BC V3W 3E9",7511-Transport truck drivers,10
British Columbia,    High Wage,Surjit Trucking Ltd,"Surrey, BC V3V 7V1",7511-Transport truck drivers,2
British Columbia,    High Wage,Surrey Printing Ltd.,"Surrey, BC V3W 3A8",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Sutco Contracting Ltd,"Salmo, BC V0G 1Z0",7511-Transport truck drivers,20
British Columbia,    High Wage,T & S Transportation Systems Inc.,"Abbotsford, BC V4X 1K8",7511-Transport truck drivers,10
British Columbia,    High Wage,T.M. Engineering Ltd.,"Burnaby, BC V5A 4T2",2233-Industrial engineering and manufacturing technologists and technicians,1
British Columbia,    High Wage,Techno Metal Works Ltd.,"SURREY, BC V3W 4Y8",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Trans Empire Logistics Inc,"Surrey, BC V3V 7X4",7511-Transport truck drivers,7
British Columbia,    High Wage,Tri J Trucking and Contracting Ltd.,"Surrey, BC V3W 4J3",7511-Transport truck drivers,2
British Columbia,    High Wage,Trican Transport Ltd.,"surrey, BC V3V 3G7",7511-Transport truck drivers,10
