"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,, 
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Approved Positions 
,,Yaru Sushi Inc,"Whistler, BC V0N 1B9",6322-Cooks,1
,,YHBE627 Food Services Inc o/a Persimmon Tree,"Langford, BC V9B 3R5",6322-Cooks,2
,,Yoon Cinnamon Centre Ltd. o/a Umami Sushi,"LANGLEY, BC V2Y 1P3",6322-Cooks,1
,,Yoon Clinic,"Burnaby, BC V5H 4G1",3232-Practitioners of natural healing,1
,,Young Minds Child Care Inc. dba Core Education & Fine Arts,"New Westminster, BC V3M 1E6",4214-Early childhood educators and assistants,2
,,Yukiya Sushi Ltd,"Harrison Hot Springs, BC V0M 1K0",6322-Cooks,1
,  Primary Agriculture,0729947 BC Ltd.,"SURREY, BC V3S 3H5",8431-General farm workers,6
,,0733885 BC Ltd dba Horsting's Farm Market,"Chilliwack, BC V2P 7N1",8431-General farm workers,10
,,0914942 BC Ltd.,"Surrey, BC V3W 2Y4",8431-General farm workers,6
,,0936487 B.C. Ltd,"Osoyoos, BC V0H 1V4",8431-General farm workers,5
,,0961857 BC Ltd,"Surrey, BC V3S 3X4",8431-General farm workers,10
,,0973617 BC Ltd.,"CHILLIWACK, BC V2R 3N7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,,,8431-General farm workers,12
,,0979000 BC Ltd.,"SURREY, BC V4N 5S9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,5
,,0988081 BC Ltd dba Bench 1775 Winery,"Penticton, BC V2A 8T8",8431-General farm workers,6
,,1014976 B.C. LTD.,"SURREY, BC V3W 0K5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,10
,,1030511 BC Ltd.,"SURREY, BC V3W 2V6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,16
,,1031023 BC Ltd,"Oliver, BC V0H 1T1",8431-General farm workers,18
,,1038966 BC Ltd.,"SURREY, BC V3Z 1C8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,16
,,1066347 BC Ltd,"Delta, BC V4E 2A8",8431-General farm workers,6
,,1313 Farms Ltd,"SURREY, BC V4N 6G7",8431-General farm workers,15
,,16th Avenue Farms Ltd,"PITT MEADOWS, BC V3Y 1Z1",8432-Nursery and greenhouse workers,10
,,460423 BC Ltd,"Creston, BC V0B 1G5",8431-General farm workers,6
,,50th Parallel Estate Limited Partnership,"Lake Country, BC V4V 1B7",8431-General farm workers,6
,,577803 BC Ltd dba Taylor Farms,"Cawston, BC V0X 1C2",8431-General farm workers,11
,,635619 BC Ltd.,"Cawston, BC V0X 1C2",8431-General farm workers,10
,,690128 BC Ltd,"Abbortsford, BC V4X 1N3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,12
,,Abbyview Dairies Ltd,"ROSEDALE, BC V0K 1X2",8431-General farm workers,2
,,Advance Nursery Co Ltd,"GRAND FORKS, BC V0H 1H0",8432-Nursery and greenhouse workers,12
,,Aldan Enterprises Ltd,"Burnaby, BC V3N 2T8",8432-Nursery and greenhouse workers,2
,,Aljane Farms Ltd,"PITT MEADOWS, BC V3Y 1Z1",8432-Nursery and greenhouse workers,10
,,AM Sandher Farms Ltd,"Lake Country, BC V4V 1M3",8431-General farm workers,36
,,Andersen's Nursery Ltd,"Ladysmith, BC V9G 1J8",8432-Nursery and greenhouse workers,6
,,Anjie Orchard & Maintenance Contractors,"KELOWNA, BC V1V 2G6",8431-General farm workers,13
,,Apex Star Enterprises Ltd.,"SURREY, BC V3W 5T9",8432-Nursery and greenhouse workers,20
,,Arbutus Grove Nursery Ltd.,"NORTH SAANICH, BC V8L 5T5",8432-Nursery and greenhouse workers,6
,,Arise Ventures Ltd,"Oliver, BC V0H 1T0",8431-General farm workers,9
,,Arrowleaf Cellars Inc,"Lake Country, BC V4V 1K1",8431-General farm workers,2
,,Arterra Wines Canada Inc.,"Oliver, BC V0H 1T0",8431-General farm workers,129
,,Art's Enterprises Ltd. dba Art's Green Acre Tree,"RICHMOND, BC V6V 1T1",8432-Nursery and greenhouse workers,3
,,Athena Farm Holdings Ltd,"Cawston, BC V0X 1C3",8431-General farm workers,10
,,"Atlasta Tree Nursery, Inc.","Chilliwack, BC V4Z 0B3",8432-Nursery and greenhouse workers,2
,,Aujla Bros Greenhouses Ltd,"Osoyoos, BC V0H 1V4",8432-Nursery and greenhouse workers,5
,,Aulakh & Sons Farms Ltd.,"Osoyoos, BC V0H 1V1",8431-General farm workers,2
,,Autumn Hills Farm Ltd.,"Black Creek, BC V9J 1H7",8431-General farm workers,1
,,B & S Dhaliwal Enterprise Inc,"Oliver, BC V0H 1T0",8431-General farm workers,6
,,B & T Orchards Ltd,"Winfield, BC V4V 1P3",8431-General farm workers,10
,,Baban Blueberry Farms Ltd.,"Abbotsford, BC V3G 1P8",8431-General farm workers,3
,,Badyal Farms Ltd,"Abbotsford, BC V3G 2P5",0821-Managers in agriculture,1
,,,,8431-General farm workers,10
,,Bajwa Farms Ltd,"Abbotsford, BC V3G 2T9",8431-General farm workers,37
,,Bakerview Greenhouses Incorporated,"ABBOTSFORD, BC V2S 8R1",8432-Nursery and greenhouse workers,8
,,Bal & Nav Farms Ltd,"SURREY, BC V3R 6S8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Barker Landscaping Ltd dba Island View Nursery,"Victoria, BC V8Z 5P1",8431-General farm workers,2
,,Bergen Farms Ltd & H.Bergen & Sons Ltd.,"ABBOTSFORD, BC V2T 5X2",8431-General farm workers,95
,,Berry Haven Farm Ltd,"Abbotsford, BC V4X 2L4",8431-General farm workers,42
,,Bevo Farms Ltd,"Milner, BC V0X 1T0",8432-Nursery and greenhouse workers,18
,,Biln Farms Ltd,"PITT MEADOWS, BC V3Y 1Z1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Blasted Church Vineyards Inc.,"OKANAGAN FALLS, BC V0H 1R5",8431-General farm workers,4
,,Blue Magic Greenhouses Ltd,"PITT MEADOWS, BC V3Y 1Z1",8432-Nursery and greenhouse workers,5
,,Bordertown Vineyard & Estate Winery Ltd.,"Osoyoos, BC V0H 1V2",8431-General farm workers,4
,,Borges Orchards,"Osoyoos, BC V0H 1V6",8431-General farm workers,3
,,Bradner Farms,"Abbotsford, BC V4X 2E8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Bradner Mushroom Farm Ltd,"Abbotsford, BC V4X 1P5",8611-Harvesting labourers,24
,,Bradner R Farms Ltd.,"Abbotsford, BC V4X 2E8",8431-General farm workers,3
,,Brar Brothers Holdings Ltd.,"Kelowna, BC V1W 4H3",0821-Managers in agriculture,1
,,,,8431-General farm workers,10
,,Brar Fruit Stand & Orchards,"Osoyoos, BC V0H 1V6",8431-General farm workers,4
,,Brar Orchards Ltd.,"Cawston, BC V0X 1C2",8431-General farm workers,4
,,Brilain Ent Ltd / Neufeld Farms Ltd,"Abbotsford, BC V2T 5Z4",8431-General farm workers,20
,,Bron and Sons Nursery Co. Ltd,"GRAND FORKS, BC V0H 1H0",8432-Nursery and greenhouse workers,32
,,Burrowing Owl Vineyards Ltd,"Oliver, BC V0H 1T1",8431-General farm workers,18
,,Bylands Nurseries Ltd.,"West Kelowna, BC V1Z 1H6",8432-Nursery and greenhouse workers,116
,,Byrnes Farms Ltd,"Kelowna, BC V1Y 7Z5",8431-General farm workers,11
,,Calais Farms Ltd,"Abbotsford, BC V2T 6R4",8432-Nursery and greenhouse workers,25
,,Canadian Farms Produce Inc,"Surrey, BC V3Z 1E8",8431-General farm workers,54
,,Canadian Valley Growers Ltd,"Aldergrove, BC V4W 2V1",8431-General farm workers,13
,,,,8432-Nursery and greenhouse workers,56
,,Cannor Nurseries Ltd,"Chilliwack, BC V2P 6H3",8432-Nursery and greenhouse workers,12
,,Chohan Farms Ltd.,"ABBOTSFORD, BC V2S 6H1",8431-General farm workers,18
,,Clearview Horticultural Products Incorporated,"ALDERGROVE, BC V4W 1J7",8432-Nursery and greenhouse workers,4
,,Cloudburst Cranberry Farm Ltd,"Pitt Meadows, BC V3Y 0A7",8431-General farm workers,4
,,Coast Cranberries Ltd,"LANGLEY, BC V1M 3W1",8431-General farm workers,6
,,Collin Regehr Farms Ltd,"Abbotsford, BC V4X 2L6",8431-General farm workers,9
,,Coral Beach Farms Ltd,"LAKE COUNTRY, BC V4V 1A9",8431-General farm workers,202
,,Covert Farms Ltd.,"Oliver, BC V0H 1T0",8431-General farm workers,3
,,Cranwest Farms Ltd. Partnership,"Delta, BC V4G 1M2",8431-General farm workers,7
,,Cropthorne Farm Ltd,"Delta, BC V4K 3N2",8431-General farm workers,5
,,Dan's Farm and Country Market,"Saanichton, BC V8M 1X7",8431-General farm workers,7
,,Darvonda Nurseries Ltd.,"Milner, BC V0X 1T0",8432-Nursery and greenhouse workers,34
,,Davison Orchards,"Vernon, BC V1H 1A2",8431-General farm workers,12
,,Desert Hills Estate Winery Inc.,"Oliver, BC V0H 1T1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,,,8431-General farm workers,11
,,Desert Hills Ranch,"Ashcroft, BC V0K 1A0",8431-General farm workers,28
,,DeVry Greenhouses (1989) Ltd.,"Chilliwack, BC V2P 6H4",8432-Nursery and greenhouse workers,195
,,DHADWAL AGRICULTURE FARM LTD.,"SURREY, BC V3S 3G4",8431-General farm workers,6
,,Dhaliwal Orchards,"Osoyoos, BC V0H 1V6",8431-General farm workers,2
,,Dorel Krsta ASG Produce,"Armstrong, BC V0E 1B4",8431-General farm workers,1
,,Dosanjh Farms,"Abbotsford, BC V3G 1P8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,20
,,Double Tree Holdings Ltd,"Abbotsford, BC V2T 6B1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,12
,,Douglas Lake Cattle Company,"Douglas Lake, BC V0E 1S0",8431-General farm workers,14
,,Driediger Farms Ltd,"Langley, BC V1M 3P8",8431-General farm workers,24
,,Duke Holding Ltd,"VANCOUVER, BC V6B 4M9",8431-General farm workers,8
,,Earlco Vineyards Ltd,"Penticton, BC V2A 8T6",8431-General farm workers,13
,,East Richmond Nurseries Inc,"Richmond, BC V6V 1B1",8432-Nursery and greenhouse workers,6
,,Elk Lake Garden Centre Ltd,"Victoria, BC V8Y 1T1",8432-Nursery and greenhouse workers,3
,,Elmbridge Farms,"CHILLIWACK, BC V2R 4L6",8431-General farm workers,2
,,Elmido Farms 2018 Ltd,"CHILLIWACK, BC V2R 3P5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,3
,,Enfield Farms Ltd.,"ALDERGROVE, BC V4W 1R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Enotecca Wineries & Resorts Inc.,"Vancouver, BC V6B 2S2",8431-General farm workers,6
,,Eurosa Farms,"Brentwood Bay, BC V8M 1J6",8432-Nursery and greenhouse workers,5
,,Evergreen Propagators Ltd,"ROSEDALE, BC V0X 1X0",8432-Nursery and greenhouse workers,14
,,EVL Nursery,"LANGLEY, BC V2Y 2N8",8432-Nursery and greenhouse workers,8
,,Ex Nihilo Vineyards Okanagan Valley Inc.,"Lake Country, BC V4V 1K1",8431-General farm workers,10
,,Faber Acres Ltd,"ARMSTRONG, BC V0E 1B5",8431-General farm workers,2
,,Fairfield Tree Nurseries Inc,"Chilliwack, BC V2P 6H4",8432-Nursery and greenhouse workers,5
,,Five Star Mushroom Ltd.,"Aldergrove, BC V4W 2A4",8611-Harvesting labourers,10
,,FKC (168) Produce Ltd.,"Surrey, BC V3S 8H6",8432-Nursery and greenhouse workers,1
,,"Formosa Nursery Co., Ltd.","MAPLE RIDGE, BC V2X 4A1",8431-General farm workers,20
,,Foxglove Family Farm Corporation,"Saltspring Island, BC V8K 2H7",8431-General farm workers,2
,,Fraser Stratacare Ltd.,"Langley, BC V1M 2S1",8432-Nursery and greenhouse workers,6
,,Fraser Valley Packers Inc.,"Abbotsford, BC V2S 8A7",8431-General farm workers,4
,,Fraserview Nursery Ltd,"ABBOTSFORD, BC V4X 1K9",8432-Nursery and greenhouse workers,2
,,Fresh Quality Produce Ltd,"Abbotsford, BC V3G 0C6",8431-General farm workers,27
,,G & D Farms,"SURREY, BC V3S 0L5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,7
,,G P Sandher Holdings Ltd.,"Kelowna, BC V1P 1C5",8431-General farm workers,199
,,Gambell Farms,"Lake Country, BC V4V 1J4",8431-General farm workers,6
,,Garden Green Hothouses Incorporated,"Chilliwack, BC V2P 6H3",8432-Nursery and greenhouse workers,4
,,Garden Grove Nursery Inc.,"Aldergrove, BC V4W 2N3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8432-Nursery and greenhouse workers,7
,,Garden in Gardens Greenhouses Ltd.,"Richmond, BC V6Y 2V2",8432-Nursery and greenhouse workers,6
,,GC Farms Ltd,"Delta, BC V4K 2G8",8431-General farm workers,18
,,Geneva Farms Inc,"Abbotsford, BC V2T 6B8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Ghuman Farm,"Kelowna, BC V1W 4G8",8431-General farm workers,4
,,Gill Family Orchards Inc.,"KELOWNA, BC V1W 4R2",8431-General farm workers,6
,,Gilland Enterprises Ltd,"Abbortsford, BC V2T 5Y3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,3
,,Golden Ears Apiaries Inc.,"Mission, BC V2V 3W7",8431-General farm workers,15
,,Golden Gate Farms Ltd,"Abbotsford, BC V4X 2E8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Grace-Mar Farms Ltd,"Chilliwack, BC V2P 7N1",8431-General farm workers,4
,,Grafton Farm Ltd,"Richmond, BC V6V 1B3",8431-General farm workers,11
,,Greenland Growers Nursery Ltd.,"ALDERGROVE, BC V4W 1R7",8432-Nursery and greenhouse workers,13
,,Greenway Farms Ltd,"Surrey, BC V3Z 1E8",8431-General farm workers,75
,,Grewal Berry Growers Ltd,"Abbotsford, BC V2S 6J8",8431-General farm workers,6
,,Grewal Farms Inc.,"ABBOTSFORD, BC V2T 4X3",8431-General farm workers,2
,,Gro-Rite Supply Ltd.,"Agassiz, BC V0M 1A3",8432-Nursery and greenhouse workers,5
,,Gutknecht Orchards Ltd,"Vernon, BC V1B 3P3",8431-General farm workers,16
,,H & A Ross Farm,"ABBOTSFORD, BC V4X 1T1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,10
,,H.Q. Mushroom Farm Ltd.,"Abbotsford, BC V4X 2E8",8611-Harvesting labourers,34
,,H.S. Jansen & Sons Farm Ltd.,"Armstrong, BC V0E 1B4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Hansinger Irrigation Systems Ltd,"Westbridge, BC V0H 2B0",8432-Nursery and greenhouse workers,3
,,Harinderjit S Sidhu Orchard,"Lake Country, BC V4V 1K4",8431-General farm workers,4
,,Harker's Organics Rustic Roots Winery Ltd,"Cawston, BC V0X 1C2",8431-General farm workers,10
,,Hayer Blueberry Farms Ltd.,"DELTA, BC V4K 3N3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,4
,,Heers Berry Farms Ltd.,"ABBOTSFORD, BC V4X  1A",8431-General farm workers,15
,,Heppell's Potato Corp,"Surrey, BC V3Z 1B5",8431-General farm workers,32
,,Hester Creek Estate Winery Ltd,"Oliver, BC V0H 1T0",8431-General farm workers,6
,,HIGH POWER NURSERY LTD,"ABBOTSFORD, BC V2T  9H",8431-General farm workers,12
,,Highland Redi-Green Turf Farms Ltd.,"PITT MEADOWS, BC V3Y 1Z1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Hilltop Greenhouses Ltd,"Victoria, BC V9E 1H6",8432-Nursery and greenhouse workers,24
,,Himmat Sekhon Blueberry Growers LTD,"Surrey, BC V3S 1C3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8611-Harvesting labourers,2
,,Holland Avenue Nursery Ltd,"Victoria, BC V8Z 5K2",8432-Nursery and greenhouse workers,4
,,Holler Estate Vineyards,"Penticton, BC V2A 8T6",8431-General farm workers,9
,,Iadome Farm Partnership,"Rosedale, BC V0X 1X2",8432-Nursery and greenhouse workers,10
,,Incan Enterprises Ltd.,"Aldergrove, BC V4W 2V1",8431-General farm workers,9
,,Intrigue Wines Ltd,"Lake Country, BC V4V 1G5",8431-General farm workers,2
,,Island Hothouse Inc.,"NANAIMO, BC V9S 5V5",8432-Nursery and greenhouse workers,4
,,J Walsh Holdings Inc,"Qualicum Beach, BC V9K 2G2",8431-General farm workers,8
,,JA Orchard Ltd,"VERNON, BC V1B 4A2",8431-General farm workers,4
,,Jaedel Enterprises (1978) Ltd.,"ABBOTSFORD, BC V2T 4X3",0821-Managers in agriculture,3
,,,,8431-General farm workers,11
,,Jagtar Singh Gill DBA J&J Nursery,"ABBOTSFORD, BC V3G 2J7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,13
,,Jasmeen Enterprises Ltd.,"ABBOTSFORD, BC V4X 2K1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,7
,,Jaswal Farms,"Kelowna, BC V1W 4E3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,9
,,JM Sandher Orchards Ltd,"Vernon, BC V1B 3L4",8431-General farm workers,18
,,JNG Living Tree Farm Ltd,"Cawston, BC V0X 1C2",8431-General farm workers,10
,,Johal Brother Farms Ltd.,"RICHMOND, BC V6W 1E3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,,,8431-General farm workers,20
,,JS Orchards,"Summerland, BC V0H 1Z8",8431-General farm workers,4
,,K.Ming Farm,"DELTA, BC V4K 3N3",8431-General farm workers,8
,,Kahlon Farms Ltd,"Abbotsford, BC V2T 5X6",8431-General farm workers,18
,,Katatheon Farms Inc,"LANGLEY, BC V2Z 2A9",8432-Nursery and greenhouse workers,23
,,Kato's Nursery (2007) Ltd,"Abbotsford, BC V4X 1S3",8432-Nursery and greenhouse workers,12
,,KBF Enterprises Inc,"ABBOTSFORD, BC V3G 2R6",8431-General farm workers,14
,,King Ho Cho Op's Cho's Farm,"SURREY, BC V3Z 1C4",8431-General farm workers,5
,,King Tomatoes Farm,"Oliver, BC V0H 1T0",8431-General farm workers,3
,,Kingsdale Dairy Ltd.,"ABBOTSFORD, BC V3G 1Z5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,KN Berry Farms Inc.,"Abbotsford, BC V2T 5Y7",8431-General farm workers,3
,,Krause Farms Ltd,"LANGLEY, BC V4W 1C3",8431-General farm workers,14
,,Krazy Cherry Fruit Company Ltd,"Oliver, BC V0H 1T0",8431-General farm workers,50
,,L&R Resources Ltd,"Maple Ridge, BC V4R 1T8",8431-General farm workers,3
,,L&S Farms,"LANGLEY, BC V2Z 2X3",8431-General farm workers,4
,,La Frenz Estate Winery,"Penticton, BC V2A 8T5",8431-General farm workers,1
,,Laughing Coyote orchards Ltd,"Summerland, BC V0H 1Z8",8431-General farm workers,4
,,Leeberry Farms Ltd.,"Vancouver, BC V6E 2K3",8431-General farm workers,6
,,Leong's Nursery Enterprises Inc,"Burnaby, BC V5J 4Z2",8432-Nursery and greenhouse workers,6
,,Lepp Farms Inc,"Abbotsford, BC V3G 1R1",8431-General farm workers,38
,,Lidhar Farms,"KEREMEOS, BC V0X 1N1",8431-General farm workers,14
,,Liquidity Wines Ltd,"Okanagan Falls, BC V0H 1R2",8431-General farm workers,3
,,Little Engine Wines Ltd.,"Penticton, BC V2A 4M1",8431-General farm workers,4
,,Little Mountain Greenhouses Inc,"Chilliwack, BC V2P 7N1",8432-Nursery and greenhouse workers,5
,,Longview Farms Ltd,"Saanichton, BC V8M 1T7",8432-Nursery and greenhouse workers,26
,,Lual Orchards Ltd,"Osoyoos, BC V0H 1V2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,M & G Bros. Farms Holdings Ltd.,"Abbotsford, BC V4X 2L5",8431-General farm workers,7
,,M & J Dhaliwal Green Acres Vegetable Farm Ltd,"KAMLOOPS, BC V2H 1T8",8431-General farm workers,22
,,M. Van Noort & Sons Co. Ltd,"Langley, BC V2Y 2K6",8432-Nursery and greenhouse workers,20
,,Manjit & R Randhawa Farm,"ABBOTSFORD, BC V2T 5Y2",8431-General farm workers,4
,,Mari-Ad-Mare Food Ltd,"DELTA, BC V4K 3N3",8431-General farm workers,4
,,Mariposa Fruit Market Ltd.,"Keremeos, BC V0X 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,12
,,Mark Anthony Group Inc.,"Oliver, BC V0H 1T1",8431-General farm workers,88
,,Marlane Enterprises Ltd.,"Cranbrook, BC V1C 5M6",8432-Nursery and greenhouse workers,6
,,Maybog Farms Ltd,"Richmond, BC V6V 1T3",8431-General farm workers,14
,,Meadowland Farms Inc,"Pitt Meadows, BC V3Y 2R9",8431-General farm workers,16
,,Millennium Pacific Greenhouses Partnership,"Delta, BC V4K 3N2",8432-Nursery and greenhouse workers,14
,,Monarch Vineyards Ltd.,"Oliver, BC V0H 1T0",8431-General farm workers,2
,,Morgan Creek Tropicals Ltd,"Surrey, BC V3S 1K4",8432-Nursery and greenhouse workers,13
,,MSB Farm Ltd,"ABBOTSFORD, BC V4X 3R2",8431-General farm workers,6
,,Mt Lehman Vegetable Farms Inc,"Abbotsford, BC V4X 2G5",8432-Nursery and greenhouse workers,10
,,Mukhtiar Growers Ltd,"Abbotsford, BC V2T 6C8",8431-General farm workers,16
,,Myers Organic Farms Inc,"Aldergrove, BC V4W 1T1",8431-General farm workers,22
,,Neels Nurseries Ltd.,"Agassiz, BC V0M 1A1",8431-General farm workers,10
,,NEW MOON FARM,"ABBOTSFORD, BC V2T 6V9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
,,Newberry Farms Ltd.,"PITT MEADOWS, BC V3Y 1Z1",8431-General farm workers,50
,,Nicomen Farm Ltd.,"DEROCHE, BC V0M 1G0",8432-Nursery and greenhouse workers,7
,,Northern Cherries Inc,"Kelowna, BC V1V 2C6",8431-General farm workers,22
,,Ocean Fruit Inc,"Kelowna, BC V1W 4A5",8431-General farm workers,1
,,Odyssey Ventures Ltd.,"Oliver, BC V0H 1T1",8432-Nursery and greenhouse workers,8
,,Okanagan Crush Pad Winery Ltd.,"North Vancouver, BC V7P 2H2",8431-General farm workers,8
,,Okanagan Similkameen Enterprises Ltd,"Cawston, BC V0X 1C2",8431-General farm workers,6
,,Okanagan Sunshine Fruit Packers Ltd,"Oliver, BC V0H 1T1",8431-General farm workers,24
,,Oranya Farms II Holdings,"Aldergrove, BC V4W 2P2",8431-General farm workers,5
,,O'Rourke Family Vineyards Ltd,"Lake Country, BC V4V 1C5",8431-General farm workers,10
,,Otal Farm Ltd,"Chilliwack, BC V2R 4B2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,10
,,P & B Growers Ltd,"Abbotsford, BC V2T 5Y7",8431-General farm workers,9
,,P&G Takher Vineyard Ltd.,"OSOYOOS, BC V0H 1V5",8431-General farm workers,2
,,Padda and Mattu Blueberry Farm Ltd.,"SURREY, BC V3W 2C3",8431-General farm workers,10
,,Panorama Packing Ltd,"OLIVER, BC V0H 1T7",8431-General farm workers,9
,,PBN Nurseries Ltd.,"ABBOSTFORD, BC V4X 3R2",8432-Nursery and greenhouse workers,18
,,Peach King Farms Ltd.,"Keremeos, BC V0X 1N0",8431-General farm workers,8
,,Peels Nurseries Ltd,"Mission, BC V2V 4J1","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,,,8432-Nursery and greenhouse workers,5
,,Peppertree Farms Ltd,"Abbotsford, BC V2T 5Y1",8431-General farm workers,1
,,,,8432-Nursery and greenhouse workers,16
,,Pine Meadows Tree Farms Ltd,"Chilliwack, BC V2R 4S4",8432-Nursery and greenhouse workers,4
,,Port Guichon Farms Incorporated,"Delta, BC V4K 1S1",8431-General farm workers,6
,,Powar & Rana Blueberry Farms Ltd.,"SURREY, BC V3W 0K3",8431-General farm workers,15
,,Power Berry & Vegetables Growers Ltd.,"SURREY, BC V3X 3T7",8431-General farm workers,18
,,Precious Herbs and Vegetables Ltd.,"SURREY, BC V3V 7J6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,4
,,Preet Orchard,"Kelowna, BC V1W 4H3",8431-General farm workers,8
,,PT Farm Market Ltd,"Oliver, BC V0H 1T1",8431-General farm workers,8
,,Purple Springs Nursery Inc,"Armstrong, BC V0E 1B4",8432-Nursery and greenhouse workers,20
,,Quails Gate Vineyard Estate Winery Ltd.,"WEST KELOWNA, BC V1Z 2H3",8431-General farm workers,18
,,Qualitree Propagators Inc,"ROSEDALE, BC V0X 1X0",8432-Nursery and greenhouse workers,69
,,Quik's Farm Ltd.,"Chilliwack, BC V4Z 0A6",8432-Nursery and greenhouse workers,21
,,Rainbow Greenhouses Inc,"CHILLIWACK, BC V2R 4L6",0822-Managers in horticulture,2
,,Raiwal Agro Tech Foods Ltd,"SURREY, BC V3S 0L5",0821-Managers in agriculture,1
,,,,8431-General farm workers,8
,,Ralph's Produce Ltd.,"LANGLEY, BC V2Y 0M6",8431-General farm workers,4
,,Rama Farms Ltd.,"Abbotsford, BC V3G 2T9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,10
,,Rama Ridge Estate Winery Ltd,"Oliver, BC V0H 1T5",8431-General farm workers,3
,,Red Brick Estate Vineyard,"Osoyoos, BC V0H 1V6",8431-General farm workers,2
,,Reimer's Nurseries Ltd.,"Chilliwack, BC V2R 5E8",8432-Nursery and greenhouse workers,2
,,Richberry Farms Ltd,"Richmond, BC V6V 3A2",8431-General farm workers,12
,,Richmond Country Farms Ltd.,"Richmond, BC V6W 1A3",8431-General farm workers,26
,,River Valley Orchards Ltd,"Cawston, BC V0X 1C3",8431-General farm workers,12
,,S & B Dhaliwal Ent Inc,"Oliver, BC V0H 1T0",8431-General farm workers,9
,,S & G Farms Ltd,"OLIVER, BC V0H 1T7",8431-General farm workers,16
,,S Sundher Orchards Ltd.,"KELOWNA, BC V1P 6X1",8431-General farm workers,226
,,S&S Dhillon Farms Ltd.,"Abbotsford, BC V2T 7A2",8431-General farm workers,9
,,S.T.S. Farm Ltd.,"Osoyoos, BC V0H 1V2",8431-General farm workers,2
,,Sahota Farms Ltd,"Abbotsford, BC V3G 2S1",8431-General farm workers,110
,,Samra Bros Blueberry Farms Ltd.,"Surrey, BC V3S 1K4",8411-Underground mine service and support workers,15
,,Sandher Fruit Packers Ltd.,"KELOWNA, BC V1X 6P1",8611-Harvesting labourers,25
,,Sanghera Farms Ltd,"Langley, BC V1M 3W8",8431-General farm workers,30
,,Satchell Farms Ltd.,"ABBOTSFORD, BC V4X 2E6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,,,8431-General farm workers,9
,,Sedona Holdings Ltd.,"Kelowna, BC V1Y 7C1",8431-General farm workers,10
,,Semlin Valley Ranch Ltd.,"Cache Creek, BC V0K 1H0",8431-General farm workers,2
,,Serene Lea Farms Ltd,"Mara, BC V0E 2K0",8431-General farm workers,12
